================ Training Loss (Fri Feb  1 06:04:15 2019) ================
(epoch: 173, iters: 20, time: 1.396, data: 0.270) D_A: 0.219 G_A: 0.241 cycle_A: 0.947 idt_A: 0.647 D_B: 0.076 G_B: 0.776 cycle_B: 1.480 idt_B: 0.327 
(epoch: 175, iters: 40, time: 1.394, data: 0.002) D_A: 0.078 G_A: 1.216 cycle_A: 0.668 idt_A: 0.548 D_B: 0.046 G_B: 1.044 cycle_B: 1.832 idt_B: 0.315 
(epoch: 178, iters: 20, time: 1.383, data: 0.357) D_A: 0.110 G_A: 0.345 cycle_A: 0.477 idt_A: 0.149 D_B: 0.113 G_B: 0.892 cycle_B: 0.415 idt_B: 0.188 
(epoch: 180, iters: 40, time: 3.367, data: 0.002) D_A: 0.184 G_A: 0.931 cycle_A: 0.488 idt_A: 0.334 D_B: 0.087 G_B: 1.004 cycle_B: 0.856 idt_B: 0.171 
(epoch: 183, iters: 20, time: 1.386, data: 0.400) D_A: 0.120 G_A: 0.510 cycle_A: 0.596 idt_A: 0.340 D_B: 0.164 G_B: 1.147 cycle_B: 0.839 idt_B: 0.254 
(epoch: 185, iters: 40, time: 1.395, data: 0.002) D_A: 0.304 G_A: 0.104 cycle_A: 0.402 idt_A: 0.261 D_B: 0.227 G_B: 1.037 cycle_B: 0.663 idt_B: 0.178 
(epoch: 188, iters: 20, time: 1.392, data: 0.494) D_A: 0.359 G_A: 0.390 cycle_A: 0.587 idt_A: 0.301 D_B: 0.104 G_B: 0.534 cycle_B: 0.798 idt_B: 0.217 
(epoch: 190, iters: 40, time: 3.548, data: 0.002) D_A: 0.171 G_A: 0.525 cycle_A: 0.553 idt_A: 0.400 D_B: 0.081 G_B: 0.592 cycle_B: 1.182 idt_B: 0.201 
(epoch: 193, iters: 20, time: 1.392, data: 0.336) D_A: 0.150 G_A: 0.983 cycle_A: 0.849 idt_A: 0.514 D_B: 0.079 G_B: 0.549 cycle_B: 1.489 idt_B: 0.310 
(epoch: 195, iters: 40, time: 1.378, data: 0.002) D_A: 0.136 G_A: 0.521 cycle_A: 0.559 idt_A: 0.425 D_B: 0.072 G_B: 0.763 cycle_B: 1.477 idt_B: 0.255 
(epoch: 198, iters: 20, time: 1.394, data: 0.489) D_A: 0.138 G_A: 0.311 cycle_A: 0.476 idt_A: 0.158 D_B: 0.215 G_B: 0.702 cycle_B: 0.691 idt_B: 0.183 
(epoch: 200, iters: 40, time: 3.621, data: 0.002) D_A: 0.097 G_A: 0.551 cycle_A: 0.561 idt_A: 0.458 D_B: 0.104 G_B: 1.321 cycle_B: 1.281 idt_B: 0.213 
